,index,점포명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호
3,57,세븐일레븐 신사시장점,서울특별시,관악구,서울특별시 관악구 신림동 남부순환로153길 35,서울특별시 관악구 신림동 511-4,37.4840205,126.9163085,02-830-6586
5,59,세븐일레븐 신림점 B,서울특별시,관악구,서울특별시 관악구 신림동 호암로24길 6,서울특별시 관악구 신림동 1531-1,37.46990093,126.9335323,02-878-0845
6,93,세븐일레븐 길동제일점,서울특별시,강동구,서울특별시 강동구 천호대로1203,서울특별시 강동구 길동 148-2,37.53540255,127.1447004,02-485-7637
7,94,세븐일레븐 길동4호점,서울특별시,강동구,서울특별시 강동구 명일로210,서울특별시 강동구 길동 142-2,37.537263,127.1460832,02-484-8315
8,95,미니스톱 명일스타점,서울특별시,강동구,서울특별시 강동구 고덕로38길 64,서울특별시 강동구 명일동 312-140,37.5517026,127.142414,02-427-3120
9,96,세븐일레븐 명일삼익점,서울특별시,강동구,서울특별시 강동구 양재대로128길 47,서울특별시 강동구 명일동 350-4,37.54450894,127.1454636,02-426-7814
10,97,세븐일레븐 명일점,서울특별시,강동구,서울특별시 강동구 양재대로1655,서울특별시 강동구 명일동 306-5,37.5533158,127.1439183,02-441-9623
11,98,세븐일레븐 강동고덕점,서울특별시,강동구,서울특별시 강동구 동남로75길 13-25,서울특별시 강동구 명일동 47-16,37.5530312,127.1554565,02-426-1746
12,99,GS25 고덕,서울특별시,강동구,서울특별시 강동구 동남로81길 44,서울특별시 강동구 고덕동 503,37.56001982,127.1545091,02-429-4153
13,100,세븐일레븐 고덕광문점,서울특별시,강동구,서울특별시 강동구 동남로81길 10,서울특별시 강동구 고덕동 501-4,37.5606516,127.1561175,02-442-7172
14,101,씨스페이스 강동상일점,서울특별시,강동구,서울특별시 강동구 천호대로1469,서울특별시 강동구 상일동 437-8,37.5464168,127.1713147,02-426-4935
15,102,CU 강일5단지점,서울특별시,강동구,서울특별시 강동구 아리수로97길 20,서울특별시 강동구 강일동 670,37.56851355,127.1781387,02-428-1186
16,103,GS25 성내한빛,서울특별시,강동구,서울특별시 강동구 천호대로168길 25,서울특별시 강동구 성내동 196-8,37.53468848,127.1328468,02-488-3969
18,124,GS25 둔촌역,서울특별시,강동구,서울특별시 강동구 양재대로1367,서울특별시 강동구 성내동 416-4,37.52830949,127.1359081,02-476-7470
19,125,세븐일레븐 강동오륜점,서울특별시,강동구,서울특별시 강동구 양재대로81길 30,서울특별시 강동구 성내동 442-10,37.52320993,127.132659,02-470-1544
20,126,CU 강풀만화거리점,서울특별시,강동구,서울특별시 강동구 천호대로1034,서울특별시 강동구 성내동 9-14,37.53720715,127.1267613,02-478-4282
21,127,GS25 성내삼성점,서울특별시,강동구,서울특별시 강동구 풍성로135,서울특별시 강동구 성내동 276-2,37.531525,127.1272061,02-475-0441
22,128,GS25 천호타운,서울특별시,강동구,서울특별시 강동구 천중로35길 66,서울특별시 강동구 천호동 48-1,37.54400182,127.1385731,02-427-4222
23,129,GS25 천호중앙점,서울특별시,강동구,서울특별시 강동구 상암로162,서울특별시 강동구 천호동 39-14,37.54576919,127.140448,02-479-4648
